"nparticles","tvals","V1","V2","V3","V4","V5","V6","V7","V8"
1,4.48298855357289,1,0,0,0,0,0,0,0
1,4.55588267639521,1,0,0,0,0,0,0,0
1,4.62877679921753,1,0,0,0,0,0,0,0
1,4.70167092203986,1,0,0,0,0,0,0,0
1,4.77456504486218,1,0,0,0,0,0,0,0
1,4.8474591676845,1,0,0,0,0,0,0,0
1,4.92035329050683,1,0,0,0,0,0,0,0
1,4.99324741332915,1,0,0,0,0,0,0,0
1,5.06614153615147,1,0,0,0,0,0,0,0
1,5.1390356589738,1,0,0,0,0,0,0,0
1,5.21192978179612,1,0,0,0,0,0,0,0
1,5.28482390461844,1,0,0,0,0,0,0,0
1,5.35771802744077,1,0,0,0,0,0,0,0
1,5.43061215026309,1,0,0,0,0,0,0,0
1,5.50350627308541,1,0,0,0,0,0,0,0
1,5.57640039590774,1,0,0,0,0,0,0,0
1,5.64929451873006,1,0,0,0,0,0,0,0
1,5.72218864155238,1,0,0,0,0,0,0,0
1,5.79508276437471,1,0,0,0,0,0,0,0
1,5.86797688719703,1,0,0,0,0,0,0,0
1,5.94087101001935,1,0,0,0,0,0,0,0
1,6.01376513284168,1,0,0,0,0,0,0,0
1,6.086659255664,1,0,0,0,0,0,0,0
1,6.15955337848632,1,0,0,0,0,0,0,0
1,6.23244750130865,1,0,0,0,0,0,0,0
1,6.30534162413097,1,0,0,0,0,0,0,0
1,6.37823574695329,1,0,0,0,0,0,0,0
1,6.45112986977562,1,0,0,0,0,0,0,0
1,6.52402399259794,1,0,0,0,0,0,0,0
1,6.59691811542026,1,0,0,0,0,0,0,0
1,6.66981223824259,1,0,0,0,0,0,0,0
1,6.74270636106491,1,0,0,0,0,0,0,0
1,6.81560048388723,1,0,0,0,0,0,0,0
1,6.88849460670956,1,0,0,0,0,0,0,0
1,6.96138872953188,1,0,0,0,0,0,0,0
1,7.0342828523542,1,0,0,0,0,0,0,0
1,7.10717697517653,1,0,0,0,0,0,0,0
1,7.18007109799885,1,0,0,0,0,0,0,0
1,7.25296522082118,1,0,0,0,0,0,0,0
1,7.3258593436435,1,0,0,0,0,0,0,0
1,7.39875346646582,1,0,0,0,0,0,0,0
1,7.47164758928815,1,0,0,0,0,0,0,0
1,7.54454171211047,1,0,0,0,0,0,0,0
1,7.61743583493279,1,0,0,0,0,0,0,0
1,7.69032995775512,1,0,0,0,0,0,0,0
1,7.76322408057744,1,0,0,0,0,0,0,0
1,7.83611820339976,1,0,0,0,0,0,0,0
1,7.90901232622209,1,0,0,0,0,0,0,0
1,7.98190644904441,1,0,0,0,0,0,0,0
1,8.05480057186673,1,0,0,0,0,0,0,0
1,8.12769469468905,1,0,0,0,0,0,0,0
1,8.20058881751138,1,0,0,0,0,0,0,0
1,8.2734829403337,1,0,0,0,0,0,0,0
1,8.34637706315603,1,0,0,0,0,0,0,0
1,8.41927118597835,1,0,0,0,0,0,0,0
1,8.49216530880067,1,0,0,0,0,0,0,0
1,8.565059431623,1,0,0,0,0,0,0,0
1,8.63795355444532,1,0,0,0,0,0,0,0
1,8.71084767726764,1,0,0,0,0,0,0,0
1,8.78374180008997,1,0,0,0,0,0,0,0
1,8.85663592291229,1,0,0,0,0,0,0,0
1,8.92953004573461,1,0,0,0,0,0,0,0
1,9.00242416855694,1,0,0,0,0,0,0,0
1,9.07531829137926,1,0,0,0,0,0,0,0
1,9.14821241420158,1,0,0,0,0,0,0,0
1,9.22110653702391,1,0,0,0,0,0,0,0
1,9.29400065984623,1,0,0,0,0,0,0,0
1,9.36689478266855,1,0,0,0,0,0,0,0
1,9.43978890549088,1,0,0,0,0,0,0,0
1,9.5126830283132,1,0,0,0,0,0,0,0
1,9.58557715113552,1,0,0,0,0,0,0,0
1,9.65847127395785,1,0,0,0,0,0,0,0
1,9.73136539678017,1,0,0,0,0,0,0,0
1,9.80425951960249,1,0,0,0,0,0,0,0
1,9.87715364242482,1,0,0,0,0,0,0,0
1,9.95004776524714,1,0,0,0,0,0,0,0
1,10.0229418880695,1,0,0,0,0,0,0,0
1,10.0958360108918,1,0,0,0,0,0,0,0
1,10.1687301337141,1,0,0,0,0,0,0,0
1,10.2416242565364,1,0,0,0,0,0,0,0
1,10.3145183793588,1,0,0,0,0,0,0,0
1,10.3874125021811,1,0,0,0,0,0,0,0
1,10.4603066250034,1,0,0,0,0,0,0,0
1,10.5332007478257,1,0,0,0,0,0,0,0
1,10.606094870648,1,0,0,0,0,0,0,0
1,10.6789889934704,1,0,0,0,0,0,0,0
1,10.7518831162927,1,0,0,0,0,0,0,0
1,10.824777239115,1,0,0,0,0,0,0,0
1,10.8976713619373,1,0,0,0,0,0,0,0
1,10.9705654847597,1,0,0,0,0,0,0,0
1,11.043459607582,1,0,0,0,0,0,0,0
1,11.1163537304043,1,0,0,0,0,0,0,0
